1	Azzi Fudd
2	Allie Turner
3	Katie Donovan
4	Elle Evans
5	Te-Hina Paopao
6	JuJu Watkins
7	Cali Smallwood
8	Sarah Strong
9	Flau'jae Johnson
10	Milaysia Fulwiley
